1,054+Ian+cu+coasa,501,415,1420391,10495,0
2,Holiii,529,505,1810477,10226,0
3,%5BA%5D+006+FRONTERA+SINTM,463,499,2048251,9959,4
4,064,497,514,848882,10019,0
5,ZzZ,518,541,2180246,9698,0
6,133+Alberto26,463,490,1420391,9879,5
7,026,492,593,553065,10160,0
8,M+A+T+C+H+A,551,488,2126048,8863,0
9,Noble,470,438,933357,9849,6
10,%5BN%5D+162+-+GuerreroPlata+-,495,512,1169034,8176,0
11,Mundo+100,509,497,1592344,10750,0
12,021.+Reus,540,449,2142037,9835,6
13,065,495,515,848882,9112,0
14,Noble,464,446,1611699,9532,0
15,008+Washed+Up+Player,528,541,2177554,10014,8
16,061,496,507,848882,9615,0
17,%5B035%5D+%2ASoY+FaKe+o+De+VeRdAd%2A,431,479,2181289,9873,0
18,Noble,436,539,2179627,9302,5
19,032,434,567,1810477,10469,0
20,035+Los+%C3%81ridos,553,448,2170748,9761,0
21,M+A+T+C+H+A,525,495,2126048,10422,2
22,%5BN%5D+066+-+Azul+-,498,523,1169034,10019,0
23,004%2F+Pepon,561,533,1897377,8427,0
24,C54+C01+Afrika+Korps,473,504,1075536,7316,3
25,053+WC+-+Vitro,505,519,49616,9996,0
26,%5BF%5D+001+Noble,534,508,2077224,10285,0
27,ZzZ+-+Easy,465,535,2015768,10441,6
28,051+Mojito,494,518,1041417,9720,0
29,08.+Impel+Down,509,483,145122,10000,0
30,C17,451,486,2179802,9797,8
31,Pueblo+de+Vanquished,491,506,1946933,7625,0
32,021+Mojito,506,534,1041417,9047,0
33,M+A+T+C+H+A,521,497,2126048,9159,2
34,006+Mic+Mic,439,560,1229744,9878,0
35,013+Noble,532,471,944051,12154,0
36,052%7C+Electrabuzz,516,512,1749444,12154,1
37,A007,429,551,2179996,10213,0
38,095,555,493,1936831,9462,0
39,017+Patji,535,485,2170748,9761,9
40,005,427,536,2179875,9976,0
41,-27-+Noble,528,555,1606106,10052,0
42,024+Noble,518,438,944051,9318,7
43,%2ALaboon%2A,445,562,1880702,9761,0
44,W100+026,493,453,202091,8984,0
45,Aubriel+eres+comida+fast+food,460,498,1981490,8774,3
47,006+SinT+huevos%3F,438,496,2179606,10017,0
48,Noble,565,486,2174202,9906,4
49,032+War+Club,446,565,1617877,10019,0
50,%280.7%29SINTIM,465,443,1958617,8114,0
51,%2AS1%2A,518,554,153216,10252,3
53,093,557,497,1936831,10002,0
54,007+Mic+Mic,460,548,1229744,9899,9
55,A015,433,557,2179996,10030,0
56,AntiLaporta,527,516,2136214,9835,0
57,Pueblo+de+bonificaci%C3%B3n,515,451,1946933,9453,9
58,%5BS%5D+049+-+rafaperez17+-,487,592,1169034,10019,0
59,M+A+T+C+H+A,558,483,2126048,7516,0
60,0030,460,533,2097777,10636,8
62,036+Mojito,546,534,1041417,9567,0
63,114.+Ingresos+Pasivos,537,445,54,9889,9
64,D.0.9,469,586,1107872,9835,0
65,Lanza,540,479,34,10155,0
66,009+Coffee,473,479,2036967,10304,7
68,026+Alvaro+Riquelme,553,537,1833730,9976,0
69,ZzZ,476,564,2180246,9698,1
70,-X02,475,581,47967,10178,0
71,025,437,473,933357,10154,0
72,002+Vallhala,470,489,2036967,10469,6
73,-X11,438,566,47967,10126,0
74,A06+-+This+is+S+P+A+R+T+A%21,514,501,1745999,9863,0
75,B01+-+This+is+S+P+A+R+T+A%21,488,567,1745999,9085,9
76,-071-,439,573,537774,9990,0
77,00-Pueblo+de+b%C3%A1rbaros,527,431,189413,9970,0
78,-04-+Noble,526,549,1606106,8122,5
80,104,491,504,848882,8289,0
81,Noble,567,493,2179870,9386,2
82,012.+Capsanes,514,487,2142037,10003,0
83,Alvaro+IX..,447,491,2172838,9820,0
84,008+Xfin+focuseais+al+gran+carry,575,517,2110410,8628,1
86,Pueblo+de+b%C3%A1rbaros,573,481,2179568,9757,0
87,010,531,557,1827900,9453,6
88,A001+odpornosc,417,510,2179943,9119,0
89,-La+Dama+y+el+Moribundo-,484,440,1499631,9368,0
90,%5BA%5D+009+-+Zaraki+Kenpachi+-,547,552,1169034,10019,4
91,Batory+002,418,520,2179996,8442,0
92,S007,555,508,1050151,10469,0
93,Afrika+Korps,445,509,1982595,10595,3
