16,Stranfford,19,1,5802,367
54,Pipinf,8,1,5550,379
58,lordtony,160,1,215,1666
156,x+wars,19,1,4585,428
164,Geronnt,28,6,18057,99
214,-JAG-,177,0,0,2067
250,rubenmas2001,132,1,718,1186
515,tomaco007,132,1,1011,1059
612,mi+flaca,11,1,392,1412
644,tirsu,9,1,1824,799
645,COPE,8,1,419,1390
760,Morpheo22,137,1,599,1257
786,kinraki,0,1,480,1343
813,STCG,10,3,6208,343
930,LARDILANDIA,69,1,3722,496
948,Anianga,162,1,2476,666
1031,SANT0,0,1,608,1253
1488,victormarra,19,2,6922,311
1659,Lagash,0,1,2537,663
1871,parris,120,1,1197,993
1924,Bejerano,22,1,109,1813
2115,Junago,163,1,1462,892
2426,estoy,0,1,834,1136
2466,el+ultimo+mohicano,68,3,4440,443
2546,Cain513,0,1,215,1660
2584,-lucifer-,0,1,26,1923
2770,LYCOS,0,1,870,1115
2869,Jiru,0,0,0,2068
3257,imperio+matt,3,5,5566,378
3638,ejpajaro,139,1,1915,789
3904,ferbarom,1,5,14421,143
4535,luukor,0,1,26,1924
4675,Quaterback,35,2,4723,422
5206,Black+Rnag,0,1,720,1185
5515,Maldoror,171,1,841,1128
5802,Toni2007,0,1,596,1258
5961,Selene,55,1,885,1111
6445,GARGUENS,65,1,671,1211
6593,Jato10,16,1,2549,660
7185,fabito94,16,1,2132,728
7269,Non+Stop,0,1,228,1630
7365,qma2,0,1,1874,787
7672,sese,35,2,3368,530
8235,Nayco,0,0,0,2069
8815,canusiro,41,1,1355,940
9148,godoying,24,3,12947,173
9312,stones,196,1,1785,806
9319,espinflik,0,1,647,1222
10005,remolinos,0,1,2042,762
10174,Pol+Domain,0,1,381,1420
10553,wtfmate,26,1,899,1104
10764,skaiman,28,3,6011,361
10902,reynaldo,95,1,2062,746
10965,markit0x,0,1,118,1796
11565,AriOx,28,4,17468,102
11758,tomeu,29,1,1539,873
13447,Chocoplat4no,0,0,0,2070
13583,Gaarakirian,70,1,2335,685
14536,superpoyo,0,1,725,1183
15291,rocky,12,0,0,2071
15527,Klein,24,3,9965,223
15726,Lucifer.,179,1,317,1495
15878,cyborg,0,1,230,1626
16275,OjO+x+OjO,68,1,4149,462
19450,zarrabitria,24,3,5502,384
20146,ELNOR,120,1,2688,616
20451,vakeri%C3%B1o,1,6,28332,40
20634,antonio1551,15,1,2672,620
22529,garbanzete,11,1,264,1563
23046,Darkma,20,4,11041,211
